species,region,production_system,group,age_group,sex,year,ahle_component,cause,disease,mean,sd,lower95,upper95,date,exchg_rate_lcuperusdol,mean_usd,sd_usd,lower95_usd,upper95_usd
All,Amhara,Crop livestock mixed,Juvenile,Juvenile,Overall,2019,Mortality,Non-infectious,All conditions,418593558.18741,64804381.9976034,291576969.47210735,545610146.9027127,2019-01-01,29.06975,14399627.041423129,2229272.078280804,10030253.767992754,18769000.314853508
All,Amhara,Crop livestock mixed,Juvenile,Juvenile,Overall,2019,Production loss,External,All causes,2556447169.51061,511732045.201893,1553452360.9148998,3559441978.1063204,2019-01-01,29.06975,87941835.39626622,17603592.91710087,53438793.27874852,122444877.51378393
All,Amhara,Crop livestock mixed,Juvenile,Juvenile,Overall,2019,Production loss,Infectious,PPR,0.0,0.0,0.0,0.0,2019-01-01,29.06975,0.0,0.0,0.0,0.0
All,Amhara,Crop livestock mixed,Juvenile,Juvenile,Overall,2019,Production loss,Non-infectious,All conditions,5009277811.84412,737440703.845594,3563894032.306756,6454661591.381484,2019-01-01,29.06975,172319260.11899382,25367975.433073696,122598028.27016938,222040491.96781823
All,Amhara,Crop livestock mixed,Juvenile,Juvenile,Overall,2020,Health cost,Infectious,PPR,0.0,0.0,0.0,0.0,2020-01-01,34.9271654040404,0.0,0.0,0.0,0.0
All,Amhara,Crop livestock mixed,Juvenile,Juvenile,Overall,2020,Mortality,External,All causes,308819024.320914,74426223.7922435,162943625.68811673,454694422.9537112,2020-01-01,34.9271654040404,8841800.379402949,2130897.910874663,4665240.474088609,13018360.284717288
All,Amhara,Crop livestock mixed,Juvenile,Juvenile,Overall,2020,Mortality,Infectious,PPR,0.0,0.0,0.0,0.0,2020-01-01,34.9271654040404,0.0,0.0,0.0,0.0
All,Amhara,Crop livestock mixed,Juvenile,Juvenile,Overall,2020,Mortality,Non-infectious,All conditions,439523234.824584,68044600.8382818,306155817.1815517,572890652.4676163,2020-01-01,34.9271654040404,12583993.855216766,1948185.6042749563,8765550.070837852,16402437.63959568
All,Amhara,Crop livestock mixed,Juvenile,Juvenile,Overall,2020,Production loss,External,All causes,2684269527.98614,537318647.461903,1631124978.96081,3737414077.01147,2020-01-01,34.9271654040404,76853346.01117162,15383975.230917122,46700754.55857406,107005937.46376918
All,Amhara,Crop livestock mixed,Juvenile,Juvenile,Overall,2020,Production loss,Infectious,PPR,0.0,0.0,0.0,0.0,2020-01-01,34.9271654040404,0.0,0.0,0.0,0.0
All,Amhara,Crop livestock mixed,Juvenile,Juvenile,Overall,2020,Production loss,Non-infectious,All conditions,5259741702.43632,774312739.03763,3742088733.9225655,6777394670.950075,2020-01-01,34.9271654040404,150591713.97367018,22169355.28779146,107139777.6095989,194043650.33774143
All,Amhara,Crop livestock mixed,Juvenile,Juvenile,Overall,2021,Health cost,Infectious,PPR,0.0,0.0,0.0,0.0,2021-01-01,43.73377831884,0.0,0.0,0.0,0.0
All,Amhara,Crop livestock mixed,Juvenile,Juvenile,Overall,2021,Mortality,External,All causes,324259974.854431,78147535.1952461,171090805.87174863,477429143.8371133,2021-01-01,43.73377831884,7414405.690960928,1786891.9219719246,3912097.523895956,10916713.858025901
All,Amhara,Crop livestock mixed,Juvenile,Juvenile,Overall,2021,Mortality,Infectious,PPR,0.0,0.0,0.0,0.0,2021-01-01,43.73377831884,0.0,0.0,0.0,0.0
All,Amhara,Crop livestock mixed,Juvenile,Juvenile,Overall,2021,Mortality,Non-infectious,All conditions,461499395.344125,71446830.6312977,321463607.30678153,601535183.3814684,2021-01-01,43.73377831884,10552470.26633682,1633676.1509699982,7350465.010435624,13754475.522238014
