species,region,production_system,group,age_group,sex,year,ahle_component,cause,disease,mean,sd,lower95,upper95,date,exchg_rate_lcuperusdol,mean_usd,sd_usd,lower95_usd,upper95_usd
All,Afar,Pastoral,Sub-adult,Sub-adult,Overall,2018,Mortality,Infectious,All diseases,745499026.32702,75123605.8966905,598256758.7695067,892741293.8845334,2018-01-01,27.4293865941667,27178844.25769705,2738800.0689985077,21810796.122459974,32546892.39293412
All,Afar,Pastoral,Sub-adult,Sub-adult,Overall,2018,Mortality,Infectious,PPR,0.0,0.0,0.0,0.0,2018-01-01,27.4293865941667,0.0,0.0,0.0,0.0
All,Afar,Pastoral,Sub-adult,Sub-adult,Overall,2018,Mortality,Non-infectious,All conditions,418721643.92692,61057774.052816,299048406.78340065,538394881.0704393,2018-01-01,27.4293865941667,15265439.585731307,2225998.5232699635,10902482.48012218,19628396.691340435
All,Afar,Pastoral,Sub-adult,Sub-adult,Overall,2018,Mortality,allcause,alldisease,1599574363.8284364,12560.506052454384,1599549745.2365735,1599598982.4202993,2018-01-01,27.4293865941667,58316082.218499616,457.92150726132456,58315184.69234537,58316979.74465385
All,Afar,Pastoral,Sub-adult,Sub-adult,Overall,2018,Production loss,External,All causes,1821924320.28487,734038139.513832,383209566.83775926,3260639073.7319803,2018-01-01,27.4293865941667,66422350.13277079,26761011.843769666,13970766.918982247,118873933.34655933
All,Afar,Pastoral,Sub-adult,Sub-adult,Overall,2018,Production loss,Infectious,All diseases,2705122084.91616,1039204684.69917,668280902.905787,4741963266.926533,2018-01-01,27.4293865941667,98621311.69537155,37886544.824162185,24363683.840013675,172878939.55072942
All,Afar,Pastoral,Sub-adult,Sub-adult,Overall,2018,Production loss,Infectious,PPR,0.0,0.0,0.0,0.0,2018-01-01,27.4293865941667,0.0,0.0,0.0,0.0
All,Afar,Pastoral,Sub-adult,Sub-adult,Overall,2018,Production loss,Non-infectious,All conditions,2320455670.643,908030917.7805,540715071.79322,4100196269.49278,2018-01-01,27.4293865941667,84597432.12545928,33104310.03125704,19712984.464195482,149481879.78672308
All,Afar,Pastoral,Sub-adult,Sub-adult,Overall,2018,Production loss,allcause,alldisease,6928691849.00402,2523915373.334124,1981817717.2691364,11875565980.738903,2018-01-01,27.4293865941667,252601049.7980847,92015013.33868237,72251623.65426727,432950475.94190216
All,Afar,Pastoral,Sub-adult,Sub-adult,Overall,2019,Health cost,Infectious,PPR,0.0,0.0,0.0,0.0,2019-01-01,29.06975,0.0,0.0,0.0,0.0
All,Afar,Pastoral,Sub-adult,Sub-adult,Overall,2019,Health cost,allcause,alldisease,17569876.552595373,203956.2759268744,17170122.2517787,17969630.853412047,2019-01-01,29.06975,604404.1160517505,7016.100101544541,590652.5598527231,618155.6722507778
All,Afar,Pastoral,Sub-adult,Sub-adult,Overall,2019,Mortality,External,All causes,457121587.656719,67740127.4620187,324350937.8311624,589892237.4822757,2019-01-01,29.06975,15724992.050386366,2330261.782850513,11157678.95599936,20292305.14477337
All,Afar,Pastoral,Sub-adult,Sub-adult,Overall,2019,Mortality,Infectious,All diseases,782773973.484368,78879791.8266928,628169581.50405,937378365.4646859,2019-01-01,29.06975,26927440.844326764,2713466.4669181127,21609046.569167264,32245835.11948627
All,Afar,Pastoral,Sub-adult,Sub-adult,Overall,2019,Mortality,Infectious,PPR,0.0,0.0,0.0,0.0,2019-01-01,29.06975,0.0,0.0,0.0,0.0
All,Afar,Pastoral,Sub-adult,Sub-adult,Overall,2019,Mortality,Non-infectious,All conditions,439657723.467392,64110661.4983872,314000826.9305531,565314620.004231,2019-01-01,29.06975,15124234.761819143,2205408.078789367,10801634.927391984,19446834.596246302
All,Afar,Pastoral,Sub-adult,Sub-adult,Overall,2019,Mortality,allcause,alldisease,1679553082.0198581,12561.402814649195,1679528461.6703415,1679577702.3693748,2019-01-01,29.06975,57776660.68747953,432.11251609144193,57775813.746948,57777507.62801107
All,Afar,Pastoral,Sub-adult,Sub-adult,Overall,2019,Production loss,External,All causes,1913020536.29913,770740046.488775,402370045.1811309,3423671027.417129,2019-01-01,29.06975,65807945.933457635,26513473.507297967,13841537.859153619,117774354.00776164
All,Afar,Pastoral,Sub-adult,Sub-adult,Overall,2019,Production loss,Infectious,All diseases,2840378189.16201,1091164918.93297,701694948.0533888,4979061430.270632,2019-01-01,29.06975,97709068.33261415,37536095.73295161,24138320.696028993,171279815.96919933
All,Afar,Pastoral,Sub-adult,Sub-adult,Overall,2019,Production loss,Infectious,PPR,0.0,0.0,0.0,0.0,2019-01-01,29.06975,0.0,0.0,0.0,0.0
All,Afar,Pastoral,Sub-adult,Sub-adult,Overall,2019,Production loss,Non-infectious,All conditions,2436478454.17518,953432463.668522,567750825.384877,4305206082.965483,2019-01-01,29.06975,83814909.11257166,32798096.429055016,19530640.111623835,148099178.1135195
All,Afar,Pastoral,Sub-adult,Sub-adult,Overall,2019,Production loss,allcause,alldisease,7275126441.454219,2650111141.9977837,2080908603.1385632,12469344279.769875,2019-01-01,29.06975,250264499.744725,91163877.98305055,71583298.89794591,428945700.59150404
All,Afar,Pastoral,Sub-adult,Sub-adult,Overall,2020,Health cost,Infectious,PPR,0.0,0.0,0.0,0.0,2020-01-01,34.9271654040404,0.0,0.0,0.0,0.0
All,Afar,Pastoral,Sub-adult,Sub-adult,Overall,2020,Health cost,allcause,alldisease,18448370.38022514,214154.0897232181,18028628.364367634,18868112.396082647,2020-01-01,34.9271654040404,528195.4652435385,6131.447749792045,516177.82765394606,540213.1028331309
All,Afar,Pastoral,Sub-adult,Sub-adult,Overall,2020,Mortality,External,All causes,479977663.740435,71127130.5027835,340568487.9549793,619386839.5258907,2020-01-01,34.9271654040404,13742244.988621688,2036441.5399869657,9750819.570247235,17733670.406996142
All,Afar,Pastoral,Sub-adult,Sub-adult,Overall,2020,Mortality,Infectious,All diseases,821912667.999894,82823787.0538243,659578045.3743984,984247290.6253897,2020-01-01,34.9271654040404,23532189.299988672,2371328.6233140235,18884385.198293183,28179993.401684158
All,Afar,Pastoral,Sub-adult,Sub-adult,Overall,2020,Mortality,Infectious,PPR,0.0,0.0,0.0,0.0,2020-01-01,34.9271654040404,0.0,0.0,0.0,0.0
All,Afar,Pastoral,Sub-adult,Sub-adult,Overall,2020,Mortality,Non-infectious,All conditions,461640606.985086,67316193.3167393,329700868.084277,593580345.885895,2020-01-01,34.9271654040404,13217236.544815145,1927330.561699465,9439668.643884193,16994804.445746094
All,Afar,Pastoral,Sub-adult,Sub-adult,Overall,2020,Mortality,allcause,alldisease,1763530736.1208508,12562.391420775299,1763506113.833666,1763555358.4080355,2020-01-01,34.9271654040404,50491665.032652326,359.67394649558565,50490960.071717195,50492369.99358746
All,Afar,Pastoral,Sub-adult,Sub-adult,Overall,2020,Production loss,External,All causes,2008671563.11412,809277048.812501,422488547.4416182,3594854578.786622,2020-01-01,34.9271654040404,57510294.34761274,23170418.768620804,12096273.561115967,102924315.13410953
All,Afar,Pastoral,Sub-adult,Sub-adult,Overall,2020,Production loss,Infectious,All diseases,2982397098.62015,1145723164.87852,736779695.458251,5228014501.782049,2020-01-01,34.9271654040404,85389039.2798708,32803210.670682766,21094746.365332577,149683332.194409
All,Afar,Pastoral,Sub-adult,Sub-adult,Overall,2020,Production loss,Infectious,PPR,0.0,0.0,0.0,0.0,2020-01-01,34.9271654040404,0.0,0.0,0.0,0.0
All,Afar,Pastoral,Sub-adult,Sub-adult,Overall,2020,Production loss,Non-infectious,All conditions,2558302376.88396,1001104086.85099,596138366.6560192,4520466387.1119,2020-01-01,34.9271654040404,73246779.3274748,28662620.492391333,17068043.162387792,129425515.49256182
