species,region,production_system,group,age_group,sex,year,ahle_component,cause,mean,sd,lower95,upper95
All Poultry,National,Village,Chick,Chick,Overall,2017,Mortality,Non-infectious,273316202.302295,52128530.3205782,270085301.888892,276547102.715698
All Poultry,National,Village,Chick,Chick,Overall,2017,Production loss,External,3429959853.04895,1826065416.38874,3316781225.67486,3543138480.42304
All Poultry,National,Village,Chick,Chick,Overall,2017,Production loss,Infectious,5869686976.19787,3106306091.34657,5677159667.77447,6062214284.62127
All Poultry,National,Village,Chick,Chick,Overall,2017,Production loss,Non-infectious,5112514143.01517,2737930943.36601,4942818543.26605,5282209742.76429
All Poultry,National,Village,Chick,Chick,Overall,2018,Mortality,External,615633461.416981,85289276.1926855,610347274.447673,620919648.386289
All Poultry,National,Village,Chick,Chick,Overall,2018,Mortality,Infectious,1026431504.60883,88245822.1864982,1020962072.38754,1031900936.83011
All Poultry,National,Village,Chick,Chick,Overall,2018,Mortality,Non-infectious,286982012.41741,54734956.8366071,283589566.983337,290374457.851483
All Poultry,National,Village,Chick,Chick,Overall,2018,Production loss,External,3601457845.7014,1917368687.20818,3482620286.95861,3720295404.4442
All Poultry,National,Village,Chick,Chick,Overall,2018,Production loss,Infectious,6163171325.00776,3261621395.9139,5961017651.16319,6365324998.85233
All Poultry,National,Village,Chick,Chick,Overall,2018,Production loss,Non-infectious,5368139850.16593,2874827490.53431,5189959470.42936,5546320229.90251
All Poultry,National,Village,Chick,Chick,Overall,2019,Mortality,External,646415134.487831,89553740.0023197,640864638.170057,651965630.805604
All Poultry,National,Village,Chick,Chick,Overall,2019,Mortality,Infectious,1077753079.83927,92658113.2958231,1072010176.00692,1083495983.67161
All Poultry,National,Village,Chick,Chick,Overall,2019,Mortality,Non-infectious,301331113.038281,57471704.6784375,297769045.332503,304893180.744058
All Poultry,National,Village,Chick,Chick,Overall,2019,Production loss,External,3781530737.98647,2013237121.56859,3656751301.30654,3906310174.66641
All Poultry,National,Village,Chick,Chick,Overall,2019,Production loss,Infectious,6471329891.25815,3424702465.7096,6259068533.72135,6683591248.79495
All Poultry,National,Village,Chick,Chick,Overall,2019,Production loss,Non-infectious,5636546842.67423,3018568865.06103,5449457443.95083,5823636241.39764
